"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"2936",0,2010,125,125,9,5,"MayJun","MayJun1","AM2","2"
"39860",0,2015,51,309,12,2,"RestOfYear","RestOfYear","MDay","4"
"40796",0,2015,90,86,13,3,"RestOfYear","RestOfYear","MDay","2"
"18617",1,2012,124,14,10,5,"MayJun","MayJun1","AM2","1"
"11262",1,2011,110,185,8,4,"RestOfYear","RestOfYear","AM2","3"
"5883",0,2010,249,176,4,9,"RestOfYear","RestOfYear","AM1","3"
"23657",1,2013,96,278,7,4,"RestOfYear","RestOfYear","AM2","4"
"23873",0,2013,105,114,7,4,"RestOfYear","RestOfYear","AM2","2"
"14471",0,2011,245,298,1,9,"RestOfYear","RestOfYear","MNight","4"
"1237",0,2010,53,217,13,2,"RestOfYear","RestOfYear","MDay","3"
"23864",0,2013,104,207,22,4,"RestOfYear","RestOfYear","PM2","3"
"9582",0,2011,39,106,7,2,"RestOfYear","RestOfYear","AM2","2"
"3369",0,2010,143,59,10,5,"MayJun","MayJun2","AM2","2"
"20614",0,2012,208,286,15,7,"RestOfYear","RestOfYear","PM1","4"
"32225",0,2014,91,193,8,4,"RestOfYear","RestOfYear","AM2","3"
"16378",0,2011,332,135,7,11,"RestOfYear","RestOfYear","AM2","2"
"18964",0,2012,138,311,21,5,"MayJun","MayJun1","PM2","4"
"1495",0,2010,65,86,7,3,"RestOfYear","RestOfYear","AM2","2"
"563",0,2010,25,106,11,1,"RestOfYear","RestOfYear","MDay","2"
"39586",0,2015,40,320,2,2,"RestOfYear","RestOfYear","MNight","1"
"4494",1,2010,191,242,7,7,"RestOfYear","RestOfYear","AM2","4"
"32093",0,2014,85,309,19,3,"RestOfYear","RestOfYear","PM2","4"
"27610",0,2013,262,332,24,9,"RestOfYear","RestOfYear","MNight","1"
"38163",0,2014,345,104,19,12,"RestOfYear","RestOfYear","PM2","2"
"5190",1,2010,220,251,7,8,"RestOfYear","RestOfYear","AM2","4"
"33945",0,2014,164,331,24,6,"MayJun","MayJun3","MNight","1"
"19172",1,2012,147,280,13,5,"MayJun","MayJun2","MDay","4"
"31041",1,2014,41,25,23,2,"RestOfYear","RestOfYear","MNight","1"
"7033",1,2010,298,22,2,10,"RestOfYear","RestOfYear","MNight","1"
"38764",0,2015,5,212,20,1,"RestOfYear","RestOfYear","PM2","3"
"13433",0,2011,201,90,19,7,"RestOfYear","RestOfYear","PM2","2"
"36919",1,2014,289,111,22,10,"RestOfYear","RestOfYear","PM2","2"
"2240",0,2010,96,112,9,4,"RestOfYear","RestOfYear","AM2","2"
"6958",1,2010,294,329,23,10,"RestOfYear","RestOfYear","MNight","1"
"5471",0,2010,231,102,24,8,"RestOfYear","RestOfYear","MNight","2"
"20522",0,2012,204,126,19,7,"RestOfYear","RestOfYear","PM2","2"
"19147",1,2012,146,271,12,5,"MayJun","MayJun2","MDay","4"
"2887",1,2010,123,137,8,5,"MayJun","MayJun1","AM2","3"
"33667",0,2014,153,201,10,6,"MayJun","MayJun2","AM2","3"
"46552",0,2015,333,188,9,11,"RestOfYear","RestOfYear","AM2","3"
"43537",1,2015,206,331,18,7,"RestOfYear","RestOfYear","PM1","1"
"37565",0,2014,316,120,20,11,"RestOfYear","RestOfYear","PM2","2"
"13713",1,2011,213,283,11,8,"RestOfYear","RestOfYear","MDay","4"
"46300",1,2015,322,123,21,11,"RestOfYear","RestOfYear","PM2","2"
"1708",0,2010,74,113,4,3,"RestOfYear","RestOfYear","AM1","2"
"46542",0,2015,332,258,23,11,"RestOfYear","RestOfYear","MNight","4"
"15340",1,2011,281,239,6,10,"RestOfYear","RestOfYear","AM1","4"
"16338",0,2011,330,58,15,11,"RestOfYear","RestOfYear","PM1","2"
"30109",0,2014,3,43,3,1,"RestOfYear","RestOfYear","AM1","1"
"21840",0,2012,259,145,17,9,"RestOfYear","RestOfYear","PM1","3"
"13209",1,2011,192,69,11,7,"RestOfYear","RestOfYear","MDay","2"
"36990",0,2014,292,310,21,10,"RestOfYear","RestOfYear","PM2","4"
"14858",0,2011,261,21,4,9,"RestOfYear","RestOfYear","AM1","1"
"46732",0,2015,340,6,21,12,"RestOfYear","RestOfYear","PM2","1"
"33571",1,2014,149,273,10,5,"MayJun","MayJun2","AM2","4"
"42098",0,2015,145,34,19,5,"MayJun","MayJun2","PM2","1"
"11384",1,2011,115,127,10,4,"RestOfYear","RestOfYear","AM2","2"
"35544",0,2014,232,185,15,8,"RestOfYear","RestOfYear","PM1","3"
"27889",0,2013,274,141,15,10,"RestOfYear","RestOfYear","PM1","3"
"14966",0,2011,265,252,16,9,"RestOfYear","RestOfYear","PM1","4"
"8748",0,2011,4,15,13,1,"RestOfYear","RestOfYear","MDay","1"
"38689",0,2015,2,188,17,1,"RestOfYear","RestOfYear","PM1","3"
"7850",0,2010,332,308,3,11,"RestOfYear","RestOfYear","AM1","4"
"27699",0,2013,266,59,17,9,"RestOfYear","RestOfYear","PM1","2"
"9824",0,2011,50,232,9,2,"RestOfYear","RestOfYear","AM2","4"
"20380",1,2012,198,306,21,7,"RestOfYear","RestOfYear","PM2","4"
"37796",0,2014,326,324,11,11,"RestOfYear","RestOfYear","MDay","1"
"17559",0,2012,16,198,12,1,"RestOfYear","RestOfYear","MDay","3"
"32569",0,2014,107,64,16,4,"RestOfYear","RestOfYear","PM1","2"
"43455",1,2015,203,113,8,7,"RestOfYear","RestOfYear","AM2","2"
"30820",0,2014,32,129,18,2,"RestOfYear","RestOfYear","PM1","2"
"42724",0,2015,171,167,21,6,"MayJun","MayJun3","PM2","3"
"24546",1,2013,133,171,8,5,"MayJun","MayJun1","AM2","3"
"16308",0,2011,329,268,9,11,"RestOfYear","RestOfYear","AM2","4"
"30725",1,2014,28,261,19,1,"RestOfYear","RestOfYear","PM2","4"
"11956",1,2011,139,134,6,5,"MayJun","MayJun1","AM1","2"
"28118",0,2013,284,345,4,10,"RestOfYear","RestOfYear","AM1","1"
"6196",0,2010,262,213,5,9,"RestOfYear","RestOfYear","AM1","3"
"8354",0,2010,353,135,3,12,"RestOfYear","RestOfYear","AM1","2"
"13829",0,2011,218,61,7,8,"RestOfYear","RestOfYear","AM2","2"
"6444",1,2010,272,280,13,9,"RestOfYear","RestOfYear","MDay","4"
"11982",0,2011,140,169,8,5,"MayJun","MayJun1","AM2","3"
"10731",0,2011,88,223,5,3,"RestOfYear","RestOfYear","AM1","3"
"29504",0,2013,342,161,22,12,"RestOfYear","RestOfYear","PM2","3"
"10221",0,2011,66,234,22,3,"RestOfYear","RestOfYear","PM2","4"
"24556",0,2013,133,102,18,5,"MayJun","MayJun1","PM1","2"
"37477",1,2014,313,68,4,11,"RestOfYear","RestOfYear","AM1","2"
"32941",1,2014,123,34,4,5,"MayJun","MayJun1","AM1","1"
"26546",0,2013,218,105,16,8,"RestOfYear","RestOfYear","PM1","2"
"5646",0,2010,239,154,7,8,"RestOfYear","RestOfYear","AM2","3"
"35221",0,2014,219,221,4,8,"RestOfYear","RestOfYear","AM1","3"
"1661",0,2010,72,163,5,3,"RestOfYear","RestOfYear","AM1","3"
